ctn_no,category,actual_position_block,bay,stack,tier,first_inyard_time,last_outyard_time,order,vessel_reference,destination_port_code,ctn_status,ctn_size,weight,ctn_weight,flag
CRSU9355728,1,43,74,3,5,2022/11/3 3:16,,101,AWS2,USLGB,1,2.25,17900.2,5,0
FFAU2882847,1,4A,38,3,2,2022/11/3 3:21,,102,AWS2,USLGB,1,2.25,11614,3,0
FFAU3316905,1,4A,38,2,1,2022/11/3 3:24,,103,AWS2,USLGB,1,2.25,17113,5,0
CSNU6849037,1,46,36,6,2,2022/11/3 3:28,,104,AWS2,USLGB,1,2.25,19114,6,0
CMAU7924211,1,4A,38,3,3,2022/11/3 3:30,,105,AWS2,USLGB,1,2.25,13080,4,0
CEOU2147996,1,43,51,3,3,2022/11/3 3:34,,106,AWS2,USLGB,1,1,19297,6,0
CBHU8805148,1,51,42,1,1,2022/11/3 3:35,,107,AWS2,USLG6,1,2.25,22452,7,0
BMOU5151254,1,4A,38,3,4,2022/11/3 3:37,,108,AWS2,USLGB,1,2.25,13883,4,0
FCIU9784270,1,4A,70,1,1,2022/11/3 3:39,,109,AWS2,USLGB,1,2.25,12066,4,0
FFAU2711021,1,4A,70,1,2,2022/11/3 3:43,,110,AWS2,USLGB,1,2.25,12488,4,0
CXDU2224084,1,4A,20,4,1,2022/11/3 3:47,,111,AWS2,USLGB,1,2.25,13382.4,4,0
TFLU4956298,1,4A,70,1,3,2022/11/3 4:01,,112,AWS2,USLGB,1,2.25,14885.1,4,0
FSCU8054337,1,45,90,5,2,2022/11/3 4:02,,113,AWS2,USLGB,1,2.25,19824,6,0
TEMU8865027,1,56,64,3,2,2022/11/3 4:11,,114,AWS2,USLGB,1,2.25,9932.6,3,0
GCXU5441819,1,4A,70,1,4,2022/11/3 4:14,,115,AWS2,USLGB,1,2.25,13435,4,0
TGHU6876261,1,51,42,3,1,2022/11/3 4:20,,116,AWS2,USLGB,1,2.25,11434,3,0
OOCU7563250,1,59,72,4,1,2022/11/3 4:25,,117,AWS2,USLGB,1,2.25,21981,7,0
CSLU6111637,1,53,80,3,1,2022/11/3 4:29,,118,AWS2,USLGB,1,2.25,13111.7,4,0
TRHU5198747,1,59,72,4,2,2022/11/3 4:29,,119,AWS2,USLGB,1,2.25,20800,6,0
TEMU8044361,1,31,94,4,2,2022/11/3 4:37,,120,AWS2,USLGB,1,2.25,17839.5,5,0
TGBU4344817,1,53,80,3,2,2022/11/3 4:39,,121,AWS2,USLGB,1,2.25,14249,4,0
FSCU8956630,1,53,80,3,3,2022/11/3 4:41,,122,AWS2,USLGB,1,2.25,11743,3,0
FFAU2296403,1,59,72,4,3,2022/11/3 4:41,,123,AWS2,USLGB,1,2.25,24023,8,0
CBHU9551900,1,53,80,3,4,2022/11/3 4:43,,124,AWS2,USLGB,1,2.25,11434,3,0
UETU5417241,1,53,80,3,5,2022/11/3 4:45,,125,AWS2,USLGB,1,2.25,11434,3,0
OOLU8939857,1,53,80,1,1,2022/11/3 4:47,,126,AWS2,USLGB,1,2.25,14300,4,0
OOLU9082706,1,55,20,2,1,2022/11/3 4:48,,127,AWS2,USLGB,1,2.25,11650,3,0
OOLU6932935,1,53,80,1,2,2022/11/3 4:50,,128,AWS2,USLGB,1,2.25,12807,4,0
OOCU8616293,1,45,90,5,3,2022/11/3 4:51,,129,AWS2,USLGB,1,2.25,16934,5,0
CSNU6463168,1,45,90,5,4,2022/11/3 4:56,,130,AWS2,USLGB,1,2.25,16925.6,5,0
OOCU7505720,1,53,64,5,2,2022/11/3 4:57,,131,AWS2,USLG4,1,2.25,18120,6,0
SEGU6662810,1,56,64,3,3,2022/11/3 4:58,,132,AWS2,USLGB,1,2.25,9063,3,0
TTNU8735242,1,45,90,5,5,2022/11/3 5:02,,133,AWS2,USLGB,1,2.25,16787.5,5,0
CXDU1841944,1,56,64,3,4,2022/11/3 5:02,,134,AWS2,USLGB,1,2.25,7557,2,0
SEGU6836933,1,4A,38,2,2,2022/11/3 5:10,,135,AWS2,USLGB,1,2.25,15736.8,5,0
TCLU4362515,1,52,44,5,1,2022/11/3 5:11,,136,AWS2,USLG5,1,2,13395,4,0
OOLU9324918,1,59,72,4,4,2022/11/3 5:14,,137,AWS2,USLGB,1,2.25,28097.6,9,0
CEOU2148040,1,43,51,2,1,2022/11/3 5:17,,138,AWS2,USLGB,1,1,4978.4,1,0
CXDU2199593,1,55,20,2,2,2022/11/3 5:21,,139,AWS2,USLGB,1,2.25,15915.8,5,0
CBHU9459353,1,53,80,1,3,2022/11/3 5:25,,140,AWS2,USLGB,1,2.25,12282,4,0
TFLU4803133,1,51,42,3,2,2022/11/3 5:32,,141,AWS2,USLGB,1,2.25,13763,4,0
TLLU6892410,1,51,42,3,3,2022/11/3 5:46,,142,AWS2,USLGB,1,2.25,13853,4,0
TGHU9819579,1,51,42,3,4,2022/11/3 5:50,,143,AWS2,USLGB,1,2.25,15134,5,0
TEMU6058052,1,4A,38,2,3,2022/11/3 5:51,,144,AWS2,USLGB,1,2.25,17580,5,0
TCKU6202761,1,52,32,4,1,2022/11/3 5:57,,145,AWS2,USLGB,1,2.25,17416.5,5,0
TCKU6711727,1,4A,38,2,4,2022/11/3 6:02,,146,AWS2,USLGB,1,2.25,15994,5,0
CSNU8115665,1,52,32,4,2,2022/11/3 6:13,,147,AWS2,USLGB,1,2.25,20013.1,6,0
CSNU7859528,1,53,80,1,4,2022/11/3 6:17,,148,AWS2,USLGB,1,2.25,15102,5,0
OOCU7397776,1,52,32,4,3,2022/11/3 6:18,,149,AWS2,USLGB,1,2.25,18720.4,6,0
TCLU6729512,1,59,44,6,1,2022/11/3 6:19,,150,AWS2,USLG6,1,2.25,14126.3,4,0
TCLU1467343,1,52,32,4,4,2022/11/3 6:21,,151,AWS2,USLGB,1,2.25,15861,5,0
CSNU6933976,1,59,72,3,1,2022/11/3 6:23,,152,AWS2,USLGB,1,2.25,12064,4,0
TCNU1518854,1,53,64,1,1,2022/11/3 6:25,,153,AWS2,USLGB,1,2.25,15937.9,5,0
CBHU7077496,1,59,72,3,2,2022/11/3 6:27,,154,AWS2,USLGB,1,2.25,12066,4,0
EGHU9605269,1,59,72,3,3,2022/11/3 6:30,,155,AWS2,USLGB,1,2.25,12880.3,4,0
CBHU9567342,1,51,42,3,5,2022/11/3 6:32,,156,AWS2,USLGB,1,2.25,11858.5,3,0
OOCU7258282,1,53,64,5,3,2022/11/3 6:32,,157,AWS2,USLG4,1,2.25,17200,5,0
CSNU6473715,1,59,72,3,4,2022/11/3 6:33,,158,AWS2,USLGB,1,2.25,14327,4,0
OOCU6824560,1,53,64,1,2,2022/11/3 6:35,,159,AWS2,USLGB,1,2.25,16341,5,0
TCNU3459555,1,52,24,3,1,2022/11/3 6:36,,160,AWS2,USLG6,1,2.25,10581.2,3,0
TCLU8732428,1,56,64,3,5,2022/11/3 6:36,,161,AWS2,USLGB,1,2.25,6530,2,0
CMAU8815128,1,59,24,5,1,2022/11/3 6:37,,162,AWS2,USLG5,1,2.25,15476.5,5,0
TGBU8567070,1,56,64,2,1,2022/11/3 6:38,,163,AWS2,USLGB,1,2.25,9433.3,3,0
TCKU6909409,1,53,50,4,1,2022/11/3 6:38,,164,AWS2,USLG6,1,2.25,15768,5,0
OOLU8576160,1,59,14,6,1,2022/11/3 6:42,,165,AWS2,USLGB,1,2.25,10826.5,3,0
TCLU8607051,1,53,64,1,3,2022/11/3 6:42,,166,AWS2,USLGB,1,2.25,15400.7,5,0
FFAU1111212,1,59,14,6,2,2022/11/3 6:46,,167,AWS2,USLGB,1,2.25,13923.4,4,0
FCIU9225693,1,59,44,6,2,2022/11/3 6:50,,168,AWS2,USLG6,1,2.25,11298.1,3,0
TCLU6475022,1,56,64,2,2,2022/11/3 6:52,,169,AWS2,USLGB,1,2.25,8104,2,0
TGBU9289060,1,42,90,1,2,2022/11/3 6:52,,170,AWS2,USLG8,1,2.25,21885.4,7,0
CAIU8898937,1,53,50,4,2,2022/11/3 6:54,,171,AWS2,USLG6,1,2.25,19377.6,6,0
TCLU1896820,1,59,54,4,2,2022/11/3 6:55,,172,AWS2,USLG4,1,2.25,14198.5,4,0
TEMU6173652,1,52,24,3,2,2022/11/3 6:56,,173,AWS2,USLG6,1,2.25,11767.9,3,0
FFAU1412031,1,53,64,1,4,2022/11/3 6:58,,174,AWS2,USLGB,1,2.25,19177,6,0
CEOU2148117,1,43,51,2,2,2022/11/3 7:00,,175,AWS2,USLGB,1,1,6760.8,2,0
BSIU9519421,1,56,64,2,3,2022/11/3 7:01,,176,AWS2,USLGB,1,2.25,10090,3,0
OOLU8628069,1,59,54,4,3,2022/11/3 7:02,,177,AWS2,USLG4,1,2.25,14280,4,0
CEOU2147595,1,43,51,2,3,2022/11/3 7:03,,178,AWS2,USLGB,1,1,7176.2,2,0
TLLU5098257,1,53,64,2,2,2022/11/3 7:09,,179,AWS2,USLG4,1,2.25,13050.9,4,0
APHU7032942,1,53,50,4,3,2022/11/3 7:12,,180,AWS2,USLG6,1,2.25,17430.7,5,0
FFAU3209240,1,53,60,2,1,2022/11/3 7:13,,181,AWS2,USLGB,1,2.25,11858.5,3,0
CAIU9411730,1,52,24,3,3,2022/11/3 7:14,,182,AWS2,USLG6,1,2.25,11732.6,3,0
TEMU6400329,1,56,64,2,4,2022/11/3 7:15,,183,AWS2,USLGB,1,2.25,9905.6,3,0
TCLU4337024,1,59,32,4,2,2022/11/3 7:15,,184,AWS2,USLGB,1,2,6921.2,2,0
OOLU4413967,1,51,36,6,1,2022/11/3 7:18,,185,AWS2,USLG1,1,2,12201.4,4,0
CSLU6094376,1,59,14,6,3,2022/11/3 7:19,,186,AWS2,USLGB,1,2.25,10921,3,0
DFSU7381242,1,54,84,6,1,2022/11/3 7:21,,187,AWS2,USLGB,1,2.25,12573,4,0
CAAU5209944,1,54,84,6,2,2022/11/3 7:24,,188,AWS2,USLGB,1,2.25,12617.4,4,0
MAGU4879588,1,52,76,2,1,2022/11/3 7:24,,189,AWS2,USLG1,1,2,10009,3,0
CCLU7898001,1,56,64,2,5,2022/11/3 7:26,,190,AWS2,USLGB,1,2.25,9572,3,0
FCIU9572305,1,54,84,4,1,2022/11/3 7:28,,191,AWS2,USLGB,1,2.25,15253.2,5,0
OOCU8459126,1,54,84,4,2,2022/11/3 7:31,,192,AWS2,USLGB,1,2.25,18060.4,6,0
TCNU5448462,1,59,14,6,4,2022/11/3 7:33,,193,AWS2,USLGB,1,2.25,14515.8,4,0
